0.0047,-0.0000,-0.0000
0.0063,-0.0000,-0.0000
0.0071,-0.0000,-0.0000
0.0078,-0.0000,-0.0000
0.0089,-0.0000,-0.0000
0.0100,-0.0000,-0.0000
0.0108,-0.0000,-0.0000
0.0115,-0.0000,-0.0000
0.0121,-0.0000,-0.0000
0.0127,-0.0000,-0.0000
0.0661,-0.0000,-0.0000
0.1698,-0.0000,-0.0000
0.2657,-0.0000,-0.0000
0.3206,-0.0000,-0.0000
0.4226,-0.0000,-0.0000
0.4734,-0.0000,-0.0000
0.5242,-0.0000,-0.0000
0.5685,-0.0000,-0.0000
0.6201,-0.0000,-0.0000
0.7178,-0.0000,-0.0000
0.7681,-0.0000,-0.0000
0.8204,-0.0000,-0.0000
0.9200,-0.0000,-0.0000
0.9693,-0.0000,-0.0000
1.0685,-0.0000,-0.0000
1.1197,-0.0000,-0.0000
1.1688,-0.0000,-0.0000
1.2223,-0.0000,-0.0000
1.2692,-0.0000,-0.0000
1.3683,-0.0000,-0.0000
1.4183,-0.0000,-0.0000
1.4685,-0.0000,-0.0000
1.5186,-0.0000,-0.0000
1.5694,-0.0000,-0.0000
1.6190,-0.0000,-0.0000
1.6692,-0.0000,-0.0000
1.7192,-0.0000,-0.0000
1.7692,-0.0000,-0.0000
1.8193,-0.0000,-0.0000
1.9203,-0.0000,-0.0000
1.9705,-0.0000,-0.0000
2.0718,-0.0000,-0.0000
2.1209,-0.0000,-0.0000
2.1712,-0.0000,-0.0000
2.2212,-0.0000,-0.0000
2.2716,-0.0000,-0.0000
2.3713,-0.0000,-0.0000
2.4209,-0.0000,-0.0000
2.4720,-0.0000,-0.0000
2.5215,-0.0000,-0.0000
2.5724,-0.0000,-0.0000
2.6218,-0.0000,-0.0000
2.6724,-0.0000,-0.0000
2.7235,-0.0000,-0.0000
2.7741,-0.0000,-0.0000
2.8242,-0.0000,-0.0000
2.9249,-0.0000,-0.0000
2.9756,-0.0888,-0.0000
2.9777,-0.1752,-0.0000
2.9781,-0.2739,-0.0000
2.9783,-0.3684,-0.0000
2.9870,-0.4589,-0.0000
3.0002,-0.5000,-0.0000
3.0768,-0.5000,-0.0000
3.1384,-0.5000,-0.0000
3.1882,-0.5000,-0.0000
3.2406,-0.5000,-0.0000
3.3377,-0.5000,-0.0000
3.3614,-0.4548,-0.0000
3.3756,-0.3684,-0.0000
3.4252,-0.3684,-0.0000
3.4758,-0.3684,-0.0000
3.4992,-0.2821,-0.0000
3.4996,-0.1998,-0.0000
3.5395,-0.1258,-0.0000
3.5400,-0.0518,-0.0000
3.5403,-0.0000,-0.0000
3.5991,-0.0000,-0.0000
3.6514,-0.0000,-0.0000
3.7497,-0.0000,-0.0000
3.7984,0.0436,-0.0000
3.7995,0.1012,-0.0000
3.8240,0.1669,-0.0000
3.8423,0.2369,-0.0000
3.8437,0.3109,-0.0000
3.8440,0.3808,-0.0000
3.8492,0.4507,-0.0000
3.8611,0.5000,-0.0000
3.9239,0.5000,0.0049
3.9495,0.5000,0.0090
3.9520,0.5000,0.0152
3.9523,0.5000,0.0224
4.0519,0.5000,0.0224
4.1039,0.5000,0.0224
4.1110,0.5000,0.0301
4.1617,0.5000,0.0301
4.1621,0.5000,0.0258
4.1735,0.5000,-0.0000
4.1751,0.4424,-0.0000
4.1759,0.3438,-0.0000
4.1762,0.2492,-0.0000
4.1867,0.1628,-0.0000
4.1987,0.0806,-0.0000
4.1997,0.0066,-0.0000
4.2115,-0.0000,-0.0000
4.2616,-0.0000,-0.0000
4.3123,-0.0000,-0.0000
4.4119,-0.0000,-0.0000
4.4618,-0.0000,-0.0000
4.5122,-0.0000,-0.0000
4.6123,-0.0000,-0.0000
4.6626,-0.0000,-0.0000
4.7128,-0.0000,-0.0000
4.7246,0.0847,-0.0000
4.7384,0.1423,-0.0000
4.7389,0.2040,-0.0000
4.7624,0.2697,-0.0000
4.7743,0.3314,-0.0000
4.7747,0.3890,-0.0000
4.7767,0.4424,-0.0000
4.7880,0.4424,0.0378
4.7892,0.4918,0.0378
4.8241,0.4918,0.1201
4.8245,0.5000,0.1201
4.8248,0.5000,0.1859
4.8257,0.5000,0.2434
4.8376,0.5000,0.3010
4.8381,0.4918,0.3010
4.8620,0.4918,0.3421
4.8643,0.4836,0.3421
4.8739,0.4836,0.3668
4.8751,0.4753,0.3668
4.8756,0.4753,0.3709
4.8763,0.4753,0.3647
4.8773,0.4774,0.3647
4.8778,0.4774,0.3257
4.8781,0.4805,0.3257
4.8989,0.4805,0.2517
4.8993,0.4959,0.2517
4.9236,0.4959,0.1530
4.9239,0.4877,0.1530
4.9253,0.4877,0.0296
4.9257,0.4137,0.0296
4.9261,0.4137,-0.0000
4.9264,0.3314,-0.0000
4.9633,0.2451,-0.0000
4.9746,0.1546,-0.0000
4.9754,0.0765,-0.0000
4.9773,0.0107,-0.0000
4.9789,-0.0000,-0.0000
5.0271,-0.0000,-0.0000
5.0779,-0.0000,-0.0000
5.1281,-0.0000,-0.0000
5.2282,-0.0000,-0.0000
5.3265,-0.0000,-0.0000
5.3636,-0.0847,-0.0000
5.3869,-0.1505,-0.0000
5.3880,-0.2245,-0.0000
5.3985,-0.3068,-0.0000
5.4113,-0.3931,-0.0000
5.4660,-0.4671,-0.0000
5.4666,-0.5000,-0.0000
5.5130,-0.5000,-0.0000
5.5503,-0.5000,-0.0296
5.5640,-0.5000,-0.0543
5.5645,-0.5000,-0.0584
5.5743,-0.5000,-0.0000
5.5891,-0.4466,-0.0000
5.5896,-0.3602,-0.0000
5.6002,-0.2656,-0.0000
5.6006,-0.1711,-0.0000
5.6127,-0.0888,-0.0000
5.6247,-0.0271,-0.0000
5.6497,-0.0000,-0.0000
5.7006,-0.0000,-0.0000
5.7506,-0.0000,-0.0000
5.8014,-0.0000,-0.0000
5.8516,-0.0000,0.1447
5.8520,-0.0000,0.3092
5.8523,-0.0000,0.4901
5.8639,-0.0000,0.6875
5.8748,-0.0000,0.8684
5.8883,-0.0000,1.0000
5.8888,-0.0066,1.0000
